category,rate,name,address,url,price_range
"Accessories,Women's Clothing",1.0 star rating,christopher and banks,,,$$
"Steakhouses,Brazilian,Buffets",4.0 star rating,le puente mexican,,,$$$
Massage,4.5 star rating,chair massage,,,$$
Dim Sum,3.0 star rating,willow tree restaurant,,,$$
"Event Photography,Session Photography",5.0 star rating,steve chang jewelry,,,
"Ice Cream & Frozen Yogurt,Bakeries",4.5 star rating,pur yogurt,,,$
German,4.0 star rating,mir news and lottery,,,$$
Men's Clothing,4.0 star rating,polo ralph lauren kids,,,$$
Pizza,4.5 star rating,classic pizza,,,$$
"Performing Arts,Music Venues",4.5 star rating,s o v o ,,,$$$
"Dive Bars,Pubs",4.0 star rating,elder beerman,,,$
Print Media,1.5 star rating,south park news,,,
Eyewear & Opticians,5.0 star rating,low country vision center,,,$$$
Jewelry,4.5 star rating,jewelry warehouse,,,$$
"Bridal,Wedding Planning",4.0 star rating,crystal cottage,,,$$
"Women's Clothing,Swimwear",5.0 star rating,everything but water,,,$$$
"American (Traditional),Breakfast & Brunch,Cafes",4.0 star rating,galaxy diner,,,$$
"Nail Salons,Eyelash Service,Hair Removal",5.0 star rating,nail luv,,,$$
"Department Stores,Cosmetics & Beauty Supply,Kitchen & Bath",4.0 star rating,perfume emporium,,,$$$
Shoe Stores,3.0 star rating,shiekh too shoes,,,$$
"Sandwiches,Cheesesteaks,Chicken Wings",4.0 star rating,real deal,,,$
"Department Stores,Cosmetics & Beauty Supply,Kitchen & Bath",4.0 star rating,toto lingerie,,,$$$
"Hot Dogs,Vegetarian,American (Traditional)",4.0 star rating,coney island hot dogs,,,$
"Bakeries,Desserts",4.5 star rating,great american cookie company,,,$
"Nail Salons,Hair Removal",5.0 star rating,salon nails,,,$$
"Venues & Event Spaces,Music Venues",4.0 star rating,broadway magic,,,$$
"Nail Salons,Hair Removal",4.5 star rating,my les nails,,,$$
Steakhouses,4.0 star rating,cowboy cantina steakhouse,,,$$$
French,4.5 star rating,altier shoes,,,$$$$
Mexican,3.5 star rating,poor mexican,,,$$
"Home Decor,Nurseries & Gardening",4.5 star rating,accentricity,,,$$$
Nail Salons,,nail en vogue,,,
Furniture Stores,2.5 star rating,dci styles,,,$$$$
Sandwiches,4.5 star rating,police sub station,,,$
Chinese,4.0 star rating,mr egg roll,,,$
"Delis,Sandwiches",4.0 star rating,main street usa,,,$
"Museums,Aquariums",4.0 star rating,vancouver mall community library,,,
"Desserts,American (Traditional)",3.0 star rating,marie callenders,,,$$
Asian Fusion,4.5 star rating,blue ginger,,,$$$
"Nail Salons,Hair Removal",4.5 star rating,les o nails,,,$$
"Men's Clothing,Women's Clothing,Art Galleries",5.0 star rating,american girl boutique,,,$$
"Beer, Wine & Spirits",4.0 star rating,jax liquor,,,$
Shoe Stores,4.5 star rating,wild pair,,,$$$
Nail Salons,,roses nail,,,
"Music Venues,Venues & Event Spaces,Performing Arts",4.5 star rating,mona lisa photography,,,$$
Art Galleries,4.5 star rating,hartmann jewelry,,,$$
Hair Salons,5.0 star rating,shear innovations,,,$$
"Cosmetics & Beauty Supply,Skin Care",4.5 star rating,euphoria perfumes,,,$$$
Furniture Stores,3.5 star rating,furniture 4 less,,,$$
"Hair Salons,Nail Salons,Skin Care",4.5 star rating,spoil me,,,$$
Filipino,2.5 star rating,maxs of manila,,,$$
Airports,4.0 star rating,alien vacation indoor golf,,,
"Skin Care,Massage,Hair Removal",4.5 star rating,brazilian girl,,,$$
"Sandwiches,American (New)",4.0 star rating,nordstrom bistro n,,,$$
"Nail Salons,Hair Salons",3.5 star rating,cuts unlimited,,,$
Aquarium Services,4.5 star rating,the stone fish gallery,,,
Cosmetic Dentists,5.0 star rating,northcoast dental,,,
"Mini Golf,American (New),Bars",4.0 star rating,best of baltimore,,,$$
"Luggage,Outdoor Gear",5.0 star rating,its in the bag,,,$$$
"Shoe Stores,Accessories",4.0 star rating,omid jewelry,,,$$$
Eyewear & Opticians,5.0 star rating,cellphone hut,,,$$$
Gold Buyers,,gold rush stores,,,
"Gyms,Sports Clubs",4.0 star rating,optimal sport health club,,,
"Ice Cream & Frozen Yogurt,Chocolatiers & Shops",4.0 star rating,gifts basket by gh;,,,$$
"Mobile Phones,Mobile Phone Repair",4.0 star rating,more wireless sprint,,,$$
"IT Services & Computer Repair,Computers,Mobile Phones",3.0 star rating,gianni jewelers,,,$$$
"Skin Care,Hair Removal,Medical Spas",4.5 star rating,eyebrow clinic,,,$$
"Makeup Artists,Blow Dry/Out Services,Nail Salons",3.5 star rating,style nails,,,$$
"Art Galleries,Venues & Event Spaces",3.5 star rating,pollacks candy,,,$$
"Coffee & Tea,Latin American",4.0 star rating,taza grill,,,$
Home Decor,4.0 star rating,alessi,,,$$$
"Seafood,American (New),Live/Raw Food",3.5 star rating,cousins cove,,,$$$
"Men's Clothing,Women's Clothing,Books, Mags, Music & Video",4.5 star rating,atl dollar plus,,,$$
"Musical Instruments & Teachers,Private Tutors",5.0 star rating,roots in music,,,$$
"Coffee & Tea,Bubble Tea,Desserts",4.0 star rating,boba tea,,,$
"Computers,IT Services & Computer Repair",4.0 star rating,the mac store,,,$$
"Tires,Auto Repair",4.5 star rating,sikk stuff,,,
Electronics,4.0 star rating,invisible shield kiosk ,,,$$
"Spray Tanning,Waxing,Sugaring",5.0 star rating,red nails salon and spray tanning,,,$$
Tobacco Shops,2.5 star rating,puff n stuff,,,$$
Tours,4.0 star rating,ride the ducks,,,
"Toy Stores,Comic Books",3.5 star rating,joe muggs,,,$$
Art Schools,5.0 star rating,hidden talents,,,
Jewelry,5.0 star rating,gold rush store ,,,$$
"Ice Cream & Frozen Yogurt,Bakeries",4.5 star rating,gregs hallmark shoppe,,,$
"Antiques,Art Galleries,Jewelry",4.5 star rating,imperial jewelers,,,$$$$
Public Services & Government,4.5 star rating,mall post office,,,
Health Markets,3.0 star rating,general nutrition center gnc ,,,$$$
"Department Stores,Cosmetics & Beauty Supply,Kitchen & Bath",4.0 star rating,military circle mart,,,$$$
"Chiropractors,Massage,Acupuncture",5.0 star rating,chiro one wellness,,,$$
"Children's Clothing,Toy Stores",5.0 star rating,cape news,,,$$
Hot Dogs,3.0 star rating,chicago style hot dogs,,,
Videos & Video Game Rental,3.0 star rating,suncoast motion pictures,,,
"Bakeries,Desserts",4.5 star rating,great cookie ,,,$
"Art Galleries,Arts & Crafts,Home Decor",4.0 star rating,pierce interiors,,,$$
Landscaping,,rare earth,,,
"Local Flavor,Mass Media",2.5 star rating,image sh,,,
"Bakeries,Pizza",4.5 star rating,snack stop,,,$
"Toy Stores,Hobby Shops",4.0 star rating,rc helicopters,,,$$
"Hair Removal,Skin Care",5.0 star rating,threading beauty,,,$
Coffee & Tea,3.5 star rating,kingston arbor restaurant,,,$
"Korean,Barbeque",3.5 star rating,genghis grill,,,$$
"Fashion,Eyewear & Opticians",3.5 star rating,oakley,,,$$$
Cinema,2.5 star rating,united artists theatre,,,
Chiropractors,,city imaging,,,
Mobile Phones,,wireless pcs,,,
"Bars,Cafes",4.0 star rating,razz ma tazz,,,$
"Men's Clothing,Women's Clothing",3.5 star rating,banana republic-women,,,$$$
Bridal,5.0 star rating,little angel,,,
"Bakeries,Desserts",4.5 star rating,cookie store,,,$
Italian,4.0 star rating,dolce villa,,,$$$
"Skin Care,Laser Hair Removal,Medical Spas",5.0 star rating,fashion day spa,,,$$$
"Home Decor,Furniture Stores",5.0 star rating,graceful living,,,$$
Florists,4.5 star rating,texas memories,,,$$
Barbers,4.5 star rating,the shop,,,$
,,handle with care packaging store,,,
"Bakeries,Bagels,Delis",3.5 star rating,bagel ,,,$
