	0	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	Homeowner_vacancy_rate_percent	Median_Age_Female	Median_Age_Male	Median_Age	Percent_65_years_and_over	Percent_American_Indian_and_Alaska_Native	Percent_Asian	Percent_Black_or_African_American	Percent_Family_households	Percent_Female	Percent_Male	Percent_Nonfamily_households	Percent_Occupied_housing_units	Percent_Some_Other_Race	Percent_White	Rental_vacancy_rate_percent
757	0	159063	69526	6179980907	30279808	2386.104	11.691	2.6	40.1	37.2	38.7	15.3	1.9	0.8	2.0	65.6	50.8	49.2	34.4	90.6	12.1	79.4	9.3
758	0	3010232	1048907	2047561084	407916814	790.568	157.498	1.4	37.5	34.9	36.2	11.6	0.6	17.9	1.7	71.4	50.5	49.5	28.6	94.6	14.5	60.8	5.9
759	0	718633	319828	1835832315	24744702	708.819	9.554	2.4	35.7	33.0	34.3	12.0	3.5	3.0	15.4	62.4	51.1	48.9	37.6	89.9	8.1	64.6	11.4
760	0	366513	143169	581601212	11217700	224.557	4.331	1.6	39.2	36.2	37.8	12.6	0.3	8.9	20.3	67.2	51.2	48.8	32.8	93.0	6.2	61.4	8.5
761	0	67103	29842	2214963578	41793038	855.202	16.136	1.7	42.2	39.2	40.7	17.5	0.2	0.7	3.5	64.6	51.3	48.7	35.4	91.7	0.4	93.7	7.7
762	0	118572	53289	1569189995	16624267	605.868	6.419	2.7	39.6	36.5	38.2	14.3	0.5	0.7	20.6	66.8	51.8	48.2	33.2	88.8	1.6	74.9	10.7
763	0	141752	61041	2026710821	17696116	782.5169999999998	6.832999999999998	2.0	40.4	38.6	39.5	14.1	0.7	1.0	5.8	71.2	50.7	49.3	28.8	90.7	5.3	85.5	11.2
764	0	14843	16061	4781971576	60250184	1846.33	23.263	8.8	41.4	41.0	41.2	10.2	0.5	0.8	0.4	61.3	46.6	53.4	38.7	40.3	3.1	93.5	21.7
765	0	138115	57734	6284236933	9307859	2426.358	3.594	4.3	33.8	31.4	32.5	17.3	1.4	0.7	0.6	76.5	50.6	49.4	23.5	80.3	4.6	89.7	9.4
766	0	437994	177879	644948896	643150238	249.016	248.322	2.1	36.7	33.1	34.9	10.6	0.4	6.1	19.6	69.1	51.0	49.0	30.9	92.8	2.0	67.7	7.4
767	0	1931249	851261	5479291809	495471264	2115.5660000000007	191.303	2.6	37.9	36.3	37.1	10.9	0.8	14.6	6.2	58.5	50.2	49.8	41.5	92.7	3.9	68.7	7.4
768	0	195408	82164	861173331	1190399042	332.501	459.616	2.3	40.2	37.8	39.0	13.2	0.4	1.1	11.1	67.9	50.5	49.5	32.1	92.1	5.1	79.7	9.3
769	0	204214	98349	154894705	6880315	59.805	2.657	4.6	32.7	31.3	32.0	11.1	0.3	2.3	50.6	47.4	52.3	47.7	52.6	88.6	3.6	40.8	9.5
