,store,store_id
1276,robert wayne,1276
1277,rockport,1277
1278,saks fifth avenue,1278
1279,samsonite,1279
1280,sea life arizona,1280
1281,shoeteria,1281
1282,sparkle,1282
1283,sprockets,1283
1284,suki hana,1284
1285,suns up,1285
1286,sweets from heaven,1286
1287,tommy hilfiger,1287
1288,top of the line,1288
1289,tropik sun,1289
1290,ultra diamond,1290
1291,uniform destination,1291
1292,van heusen factory,1292
1293,wave,1293
1294,wilsons leather,1294
1295,windsor,1295
1296,xi clothing,1296
1297,yoyo yogurt,1297
1298,a zamora ddssmiles,1298
1299,accents,1299
1300,andersons furniture,1300
1301,arlington h exec suites,1301
1302,bjs,1302
1303,blackfinn american saloon,1303
1304,bone daddys,1304
1305,boudreauxs,1305
1306,busy body,1306
1307,citifinancial,1307
1308,compass trading company,1308
1309,conns,1309
