category,rate,name,address,url,price_range
Grocery,4.0 star rating,brewsters coffee,,,$$
"IT Services & Computer Repair,Web Design,Security Systems",5.0 star rating,all tried and true,,,
"American (New),Wine Bars",3.5 star rating,heddys beauty hideaway,,,$$
"Electronics,Mobile Phones,Internet Service Providers",3.5 star rating,wireless headquarter,,,$$$
Barbeque,4.0 star rating,queen city char grill,,,$$
"Cinema,American (New)",4.0 star rating,movie tavern,,,$$
,,beautymain,,,
"Web Design,Data Recovery",,lj graphics,,,
Caribbean,4.0 star rating,island restaurant,,,$
Cinema,3.5 star rating,cinemas 8,,,
"Shoe Stores,Sports Wear",4.0 star rating,champs sports i,,,$$$
Pizza,4.0 star rating,sunglass hut ii,,,$$
"Data Recovery,Mobile Phone Repair",4.5 star rating,silvermax gold and silver importers,,,
Kitchen & Bath,2.0 star rating,kitchen master,,,$$$
"Hair Salons,Day Spas,Massage",4.0 star rating,about your face,,,$$
"Massage,Medical Spas",4.5 star rating,chi body work,,,$$
Limos,,kasper ,,,
"Self Storage,Tours,Luggage",4.0 star rating,first class luggage,,,
"Outdoor Gear,Sports Wear",3.0 star rating,pedigree shop,,,$$
"Used, Vintage & Consignment,Women's Clothing,Men's Clothing",3.5 star rating,karens beautiful things,,,$$
Nail Salons,3.5 star rating,salon park,,,$
"Hot Dogs,German,Bars",4.0 star rating,broadway hot grill,,,$$
"Kitchen & Bath,Building Supplies,Contractors",,world of kitchen,,,
"Indian,Buffets",3.5 star rating,amg eyebrow threading,,,$$
"Printing Services,Notaries",,elite printing,,,
Thai,4.0 star rating,lemon grass thai cuisine,,,$$
Jewelry,,jewelry corner,,,
Shoe Stores,3.0 star rating,dna,,,$$
"Women's Clothing,Men's Clothing",,scrubs 4 u,,,
"Hair Extensions,Barbers,Makeup Artists",5.0 star rating,nvs cuts,,,$$
"African,French,Cocktail Bars",4.0 star rating,b casual,,,$$
,,midas muffler,,,
"Comic Books,Bookstores",4.5 star rating,inspirational creations,,,$$
"Japanese,Sushi Bars",4.0 star rating,masato of japan,,,$$$$
Jewelry,3.5 star rating,tiffanyco,,,$$$$
American (New),,finleys restaurant,,,
Japanese,3.5 star rating,waka sushi,,,$$
Chinese,4.0 star rating,zen kitchen,,,$
,,stars nstripes,,,
Professional Services,1.0 star rating,vonage,,,
"Grocery,Kosher",4.0 star rating,protein palace,,,$$$$
Toy Stores,2.0 star rating,toys r us,,,$$
Cosmetics & Beauty Supply,5.0 star rating,perfume ,,,$$$
Antiques,2.0 star rating,todays tiffany lamp ,,,$$$
American (Traditional),3.0 star rating,front porch,,,$
Eyewear & Opticians,4.0 star rating,sunglass hut ,,,$$$
"Hair Removal,Skin Care,Eyelash Service",5.0 star rating,ancient eyebrow spa,,,$
"Bakeries,American (New)",3.0 star rating,mangos,,,$$
"Luggage,Men's Clothing,Women's Clothing",4.0 star rating,victorinox swiss army,,,$$$
"Women's Clothing,Home Decor",4.0 star rating,walkabout outfitters,,,$$$
"Brazilian,Steakhouses,Seafood",4.0 star rating,fogo de chao,,,$$$$
"Auto Repair,Body Shops,Oil Change Stations",4.5 star rating,x cell,,,
Cinema,4.5 star rating,the grande cinemas,,,
,,fabrik,,,
"Pizza,Vegan,Italian",4.0 star rating,pizzeria valdiano,,,$
Nail Salons,,bonjour nails,,,
"General Dentistry,Oral Surgeons,Cosmetic Dentists,Pediatric Dentists",2.5 star rating,pedontic associates,,,
Juice Bars & Smoothies,4.0 star rating,robeks,,,$
Donuts,4.5 star rating,churros y churros,,,$
"Diners,American (Traditional),Breakfast & Brunch",4.0 star rating,black bear diner,,,$$
"Performing Arts,Musical Instruments & Teachers",4.5 star rating,island guitars,,,$
Pediatric Dentists,,pediatric dental,,,
"Italian,Seafood",3.5 star rating,verde,,,$$
Tours,4.5 star rating,horse world,,,
Cosmetics & Beauty Supply,5.0 star rating,perfumel,,,$$$
"Japanese,Sushi Bars",4.0 star rating,sushi bar by sarku japan,,,$$
